﻿Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,15.7412,NA,6.52990000000000,6.89070000000000,0.00000000000000,3.35960000000000,4.7913,9.2113,6.5299,6.5299,0.0000,1.2285,8.6610,3.8933,4.7677,NA,9.2113,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,23.0754,NA,7.33420000000000,6.92870000000000,0.00000000000000,0.88940000000000,4.3858,15.7412,7.3342,7.3342,0.0000,3.3596,4.8640,1.5977,3.2663,-0.3988,15.7412,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,30.7800,NA,7.70460000000000,6.93640000000000,0.00000000000000,1.97860000000000,3.6176,23.0754,7.7046,7.7046,0.0000,0.8894,8.7938,2.5563,6.2375,0.3978,23.0754,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,36.5872,NA,5.80720000000000,6.96040000000000,0.00000000000000,1.87140000000000,4.7708,30.7800,5.8072,5.8072,0.0000,1.9786,5.7000,2.4208,3.2792,0.7442,30.7800,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,43.6625,NA,7.07530000000000,7.00940000000000,0.00000000000000,1.42870000000000,4.7049,36.5872,7.0753,7.0753,0.0000,1.8714,6.6326,1.9341,4.6985,-1.2022,36.5872,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,51.5867,NA,7.92420000000000,6.88880000000000,0.00000000000000,0.71740000000000,3.6695,43.6625,7.9242,7.9242,0.0000,1.4287,7.2129,1.3830,5.8299,0.1865,43.6625,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,57.5757,NA,5.98900000000000,6.94650000000000,0.00000000000000,0.75410000000000,4.6270,51.5867,5.9890,5.9890,0.0000,0.7174,6.0257,1.2604,4.7653,0.9777,51.5867,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,64.5560,NA,6.98030000000000,6.98360000000000,0.00000000000000,0.70330000000000,4.6303,57.5757,6.9803,6.9803,0.0000,0.7541,6.9295,1.2582,5.6713,-0.9946,57.5757,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,72.6781,NA,8.12210000000000,6.93920000000000,0.00000000000000,0.69930000000000,3.4474,64.5560,8.1221,8.1221,0.0000,0.7033,8.1181,1.3844,6.7337,0.0411,64.5560,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,37.4705,NA,0.52610000000000,7.00990000000000,0.32290000000000,2.25520000000000,10.8987,37.4036,0.3898,0.0669,0.3229,2.0812,0.2409,0.2273,0.0136,NA,37.4036,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,78.3671,NA,5.68900000000000,6.89860000000000,0.00000000000000,0.75580000000000,4.6570,72.6781,5.6890,5.6890,0.0000,0.6993,5.7455,1.3170,4.4285,1.2235,72.6781,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,80.5560,NA,43.08550000000000,34.65630000000000,0.30000000000000,0.99860000000000,2.4695,37.7934,43.0626,42.7626,0.3000,42.9082,0.8530,0.8530,0.0000,-34.2665,37.7934,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,85.3879,NA,7.02080000000000,6.98350000000000,0.00000000000000,0.79320000000000,4.6197,78.3671,7.0208,7.0208,0.0000,0.7558,7.0582,1.3305,5.7277,-1.2945,78.3671,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,93.1655,NA,7.77760000000000,6.93250000000000,0.00000000000000,0.62480000000000,3.7746,85.3879,7.7776,7.7776,0.0000,0.7932,7.6092,1.2493,6.3599,0.0883,85.3879,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,99.2094,NA,6.04390000000000,6.92830000000000,0.00000000000000,0.93250000000000,4.6590,93.1655,6.0439,6.0439,0.0000,0.6248,6.3516,1.4677,4.8839,0.8493,93.1655,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,106.0672,NA,6.85780000000000,6.94070000000000,0.00000000000000,0.74910000000000,4.7419,99.2094,6.8578,6.8578,0.0000,0.9325,6.6744,1.2788,5.3956,-0.8968,99.2094,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,113.0857,NA,7.01850000000000,6.94430000000000,0.00000000000000,0.87120000000000,4.6677,106.0672,7.0185,7.0185,0.0000,0.7491,7.1406,1.4339,5.7067,-0.0865,106.0672,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,120.0344,NA,6.94870000000000,6.93650000000000,0.00000000000000,0.83280000000000,4.6555,113.0857,6.9487,6.9487,0.0000,0.8712,6.9103,1.4655,5.4448,0.0820,113.0857,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,80.9010,NA,0.34500000000000,6.98420000000000,0.17650000000000,0.91660000000000,9.1087,80.8560,0.2215,0.0450,0.1765,0.6986,0.2630,0.2541,0.0089,36.0784,80.8560,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,127.1928,NA,7.15840000000000,6.96880000000000,0.00000000000000,0.81140000000000,4.4659,120.0344,7.1584,7.1584,0.0000,0.8328,7.1370,1.4594,5.6776,-0.0201,120.0344,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,126.6907,NA,45.78970000000000,41.65050000000000,0.42220000000000,2.82460000000000,4.9695,81.0775,46.0354,45.6132,0.4222,45.8787,2.5591,2.5591,0.0000,-41.4290,81.0775,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,134.0796,NA,6.88680000000000,6.95290000000000,0.00000000000000,1.03190000000000,4.5320,127.1928,6.8868,6.8868,0.0000,0.8114,7.1073,1.6694,5.4379,0.2055,127.1928,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,140.8679,NA,6.78830000000000,6.92900000000000,0.00000000000000,0.96130000000000,4.6727,134.0796,6.7883,6.7883,0.0000,1.0319,6.7177,1.5829,5.1348,-0.0422,134.0796,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,148.3540,NA,7.48610000000000,6.96960000000000,0.00000000000000,1.00040000000000,4.1562,140.8679,7.4861,7.4861,0.0000,0.9613,7.5252,1.7005,5.8247,-0.1813,140.8679,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,155.1100,NA,6.75600000000000,6.94460000000000,0.00000000000000,1.16310000000000,4.3448,148.3540,6.7560,6.7560,0.0000,1.0004,6.9187,1.7670,5.1517,0.5415,148.3540,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,162.0676,NA,6.95760000000000,6.89650000000000,0.00000000000000,2.12010000000000,4.2837,155.1100,6.9576,6.9576,0.0000,1.1631,7.9146,2.7892,5.1254,-0.1405,155.1100,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,168.9776,NA,6.91000000000000,6.96270000000000,0.00000000000000,3.20060000000000,4.3364,162.0676,6.9100,6.9100,0.0000,2.1201,7.9905,3.8090,4.1815,-0.0051,162.0676,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,127.1704,NA,0.47970000000000,6.95280000000000,0.39290000000000,2.90290000000000,11.4426,127.1129,0.4504,0.0575,0.3929,2.4024,0.5580,0.5460,0.0120,39.0826,127.1129,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,175.6350,NA,6.65740000000000,6.96500000000000,0.00000000000000,2.89890000000000,4.6440,168.9776,6.6574,6.6574,0.0000,3.2006,6.3557,3.5188,2.8369,-0.0550,168.9776,NA,NA,NA
