Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,63.2901,NA,0.30750000000000,6.95410000000000,0.19860000000000,1.56040000000000,9.3217,63.2507,0.2380,0.0394,0.1986,1.0286,0.5712,0.5603,0.0109,NA,63.2507,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,110.3649,NA,47.07480000000000,41.66640000000000,0.44090000000000,1.69240000000000,3.9133,63.4887,47.3171,46.8762,0.4409,47.0093,1.5593,1.5593,0.0000,-41.4284,63.4887,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,110.8455,NA,0.48060000000000,6.96140000000000,0.21810000000000,1.81990000000000,10.3941,110.8058,0.2578,0.0397,0.2181,1.2515,0.6081,0.5897,0.0184,40.3557,110.8058,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,156.9174,NA,46.07190000000000,41.83410000000000,0.26410000000000,1.45310000000000,6.1563,111.0636,46.1179,45.8538,0.2641,23.7897,23.5172,2.9388,20.5784,-41.5763,111.0636,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,157.2276,NA,0.31020000000000,6.79740000000000,0.22850000000000,1.79330000000000,12.6435,157.1815,0.2746,0.0461,0.2285,1.1890,0.6504,0.6297,0.0207,39.3205,157.1815,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,203.5606,NA,46.33300000000000,41.65580000000000,0.48170000000000,2.19230000000000,7.9663,157.4561,46.5862,46.1045,0.4817,46.2504,2.0464,2.0464,0.0000,-41.3812,157.4561,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,204.0822,NA,0.52160000000000,6.98840000000000,0.18730000000000,2.36140000000000,14.4331,204.0423,0.2272,0.0399,0.1873,1.7106,0.6907,0.6782,0.0125,39.5978,204.0423,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,251.4429,NA,47.36070000000000,41.61510000000000,0.25660000000000,2.66410000000000,8.6875,204.2695,47.4300,47.1734,0.2566,47.2842,2.5533,2.5533,0.0000,-41.3879,204.2695,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,254.7347,NA,222.25440000000000,222.27640000000000,0.00000000000000,0.72570000000000,5.3941,32.4803,222.2544,222.2544,0.0000,1.8467,221.1334,1.4277,219.7057,NA,32.4803,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,251.7370,NA,0.29410000000000,6.91290000000000,0.20990000000000,4.76580000000000,15.3063,251.6995,0.2474,0.0375,0.2099,2.4075,2.3958,2.3817,0.0141,40.5171,251.6995,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,297.2877,NA,45.55070000000000,34.72510000000000,0.46380000000000,1.82470000000000,4.4807,251.9469,45.8046,45.3408,0.4638,45.4949,1.6706,1.6706,0.0000,-34.4777,251.9469,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,297.7898,NA,0.50210000000000,6.95610000000000,0.17200000000000,1.89460000000000,10.9347,297.7515,0.2103,0.0383,0.1720,1.3609,0.5720,0.5613,0.0107,38.8485,297.7515,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,343.6687,NA,45.87890000000000,41.70360000000000,0.26480000000000,1.47510000000000,6.7594,297.9618,45.9717,45.7069,0.2648,45.8078,1.3742,1.3742,0.0000,-41.4933,297.9618,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,343.9718,NA,0.30310000000000,6.95560000000000,0.17230000000000,1.82970000000000,13.4119,343.9335,0.2106,0.0383,0.1723,1.2103,0.6577,0.6443,0.0134,39.0161,343.9335,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,390.4956,NA,46.52380000000000,41.63870000000000,0.50680000000000,1.80250000000000,8.5268,344.1441,46.8583,46.3515,0.5068,7.8435,40.3105,2.6111,37.6994,-41.4281,344.1441,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,279.1713,NA,24.43660000000000,20.78750000000000,0.00000000000000,0.54040000000000,1.7450,254.7347,24.4366,24.4366,0.0000,0.7257,24.2513,1.2329,23.0184,201.4669,254.7347,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,391.0427,NA,0.54710000000000,6.94360000000000,0.18200000000000,2.50070000000000,14.9233,391.0024,0.2223,0.0403,0.1820,1.2957,1.2453,1.2365,0.0088,39.9147,391.0024,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,437.1821,NA,46.13940000000000,34.68290000000000,0.38750000000000,1.67180000000000,3.4668,391.2247,46.3449,45.9574,0.3875,39.0587,8.5705,2.6151,5.9554,-34.4606,391.2247,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,410.3845,NA,131.21320000000000,138.92519999999999,0.00000000000000,4.12560000000000,9.4570,279.1713,131.2132,131.2132,0.0000,0.5404,134.7984,4.8586,129.9398,-114.4886,279.1713,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,437.6160,NA,0.43390000000000,6.98340000000000,0.23400000000000,1.79190000000000,10.0163,437.5696,0.2804,0.0464,0.2340,1.2843,0.5540,0.5401,0.0139,39.3615,437.5696,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,483.3926,NA,45.77660000000000,41.62660000000000,0.30050000000000,1.38570000000000,5.8663,437.8500,45.8431,45.5426,0.3005,45.6786,1.2497,1.2497,0.0000,-41.3462,437.8500,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,483.7322,NA,0.33960000000000,6.99700000000000,0.17420000000000,1.72680000000000,12.5237,483.6931,0.2133,0.0391,0.1742,1.0852,0.6807,0.6698,0.0109,38.8461,483.6931,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,530.8976,NA,47.16540000000000,41.61660000000000,0.28210000000000,1.73160000000000,6.9749,483.9064,47.2733,46.9912,0.2821,47.0909,1.6319,1.6319,0.0000,-41.4033,483.9064,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,469.9272,NA,59.54270000000000,55.56920000000000,0.00000000000000,2.00970000000000,5.4835,410.3845,59.5427,59.5427,0.0000,4.1256,57.4268,2.7073,54.7195,75.6440,410.3845,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,531.2195,NA,0.32190000000000,6.94840000000000,0.18540000000000,2.06460000000000,13.6014,531.1797,0.2252,0.0398,0.1854,1.4495,0.6549,0.6461,0.0088,40.3249,531.1797,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,577.3278,NA,46.10830000000000,41.69620000000000,0.24290000000000,7.28680000000000,9.1893,531.4049,46.1658,45.9229,0.2429,46.0383,7.1714,7.1714,0.0000,-41.4710,531.4049,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,577.6092,NA,0.28140000000000,6.93100000000000,0.17040000000000,7.60790000000000,15.8389,577.5707,0.2089,0.0385,0.1704,7.0439,0.6025,0.5890,0.0135,39.2348,577.5707,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,624.5382,NA,46.92900000000000,34.70140000000000,0.43020000000000,1.63660000000000,3.6113,577.7796,47.1888,46.7586,0.4302,46.8717,1.5235,1.5235,0.0000,-34.4925,577.7796,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,625.0069,NA,0.46870000000000,7.02070000000000,0.20680000000000,1.73380000000000,10.1633,624.9684,0.2453,0.0385,0.2068,1.2064,0.5659,0.5568,0.0091,40.1681,624.9684,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,671.5164,NA,46.50950000000000,41.60270000000000,0.45130000000000,1.65850000000000,5.2565,625.2137,46.7540,46.3027,0.4513,8.9785,38.9827,2.5254,36.4573,-41.3574,625.2137,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,672.0062,NA,0.48980000000000,6.94390000000000,0.18250000000000,1.81830000000000,11.7106,671.9677,0.2210,0.0385,0.1825,1.2072,0.6496,0.6378,0.0118,39.8101,671.9677,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,719.7169,NA,47.71070000000000,41.74230000000000,0.38640000000000,1.77640000000000,5.7422,672.1887,47.9146,47.5282,0.3864,40.7662,8.5384,2.6797,5.8587,-41.5213,672.1887,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,580.8135,NA,110.88630000000001,111.10480000000000,0.00000000000000,2.37870000000000,5.7020,469.9272,110.8863,110.8863,0.0000,2.0097,111.2553,3.1415,108.1138,-51.5621,469.9272,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,720.1401,NA,0.42320000000000,6.87110000000000,0.17160000000000,2.02160000000000,12.1901,720.1033,0.2084,0.0368,0.1716,1.3900,0.6684,0.6456,0.0228,41.0435,720.1033,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,765.4155,NA,45.27540000000000,41.67790000000000,0.49780000000000,1.77230000000000,8.5926,720.3117,45.6016,45.1038,0.4978,45.2749,1.6012,1.6012,0.0000,-41.4695,720.3117,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,765.9514,NA,0.53590000000000,6.93000000000000,0.17430000000000,2.37060000000000,14.9867,765.9133,0.2124,0.0381,0.1743,1.2745,1.1342,1.1241,0.0101,38.6716,765.9133,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,813.2165,NA,47.26510000000000,34.72710000000000,0.48370000000000,1.72380000000000,2.4487,766.1257,47.5745,47.0908,0.4837,47.2323,1.5823,1.5823,0.0000,-34.5147,766.1257,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,813.7430,NA,0.52650000000000,6.95500000000000,0.20220000000000,1.77130000000000,8.8772,813.7002,0.2450,0.0428,0.2022,1.2401,0.5740,0.5632,0.0108,40.6195,813.7002,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,860.8408,NA,47.09780000000000,41.65690000000000,0.52200000000000,1.78190000000000,3.4363,813.9452,47.4176,46.8956,0.5220,47.0548,1.6227,1.6227,0.0000,-41.4119,813.9452,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,861.4034,NA,0.56260000000000,6.95680000000000,0.17430000000000,1.79400000000000,9.8305,861.3628,0.2149,0.0406,0.1743,1.2599,0.5747,0.5638,0.0109,40.4608,861.3628,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,906.9065,NA,45.50310000000000,41.70020000000000,0.30060000000000,1.40160000000000,6.0276,861.5777,45.6294,45.3288,0.3006,45.4687,1.2617,1.2617,0.0000,-41.4853,861.5777,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,748.0369,NA,167.22340000000000,166.95630000000000,0.00000000000000,0.52600000000000,5.4349,580.8135,167.2234,167.2234,0.0000,2.3787,165.3707,1.2201,164.1506,-56.0700,580.8135,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,907.2460,NA,0.33950000000000,6.91640000000000,0.17230000000000,1.69620000000000,12.6045,907.2071,0.2112,0.0389,0.1723,1.1010,0.6341,0.6218,0.0123,38.7130,907.2071,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,953.9543,NA,46.70830000000000,41.67800000000000,0.43550000000000,2.35800000000000,7.5742,907.4183,46.9715,46.5360,0.4355,8.5866,40.3074,4.5066,35.8008,-41.4668,907.4183,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,954.4277,NA,0.47340000000000,6.97310000000000,0.17140000000000,2.53170000000000,14.0739,954.3898,0.2093,0.0379,0.1714,1.9225,0.6471,0.6271,0.0200,39.9984,954.3898,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,999.5561,NA,45.12840000000000,34.71710000000000,0.43420000000000,1.79220000000000,3.6626,954.5991,45.3912,44.9570,0.4342,45.0777,1.6715,1.6715,0.0000,-34.5078,954.5991,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,930.3802,NA,182.34330000000000,187.20599999999999,0.00000000000000,3.48980000000000,10.2976,748.0369,182.3433,182.3433,0.0000,0.5260,185.3071,4.5106,180.7965,-19.9826,748.0369,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,1000.0364,NA,0.48030000000000,6.94850000000000,0.21680000000000,1.88350000000000,10.1308,999.9903,0.2629,0.0461,0.2168,1.3580,0.5716,0.5564,0.0152,38.4427,999.9903,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,1048.0341,NA,47.99770000000000,41.64320000000000,0.55590000000000,1.83710000000000,3.7763,1000.2532,48.3368,47.7809,0.5559,48.0164,1.6016,1.6016,0.0000,-41.3803,1000.2532,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,1048.6348,NA,0.60070000000000,6.90520000000000,0.22480000000000,1.80900000000000,10.0808,1048.5900,0.2696,0.0448,0.2248,1.2812,0.5726,0.5614,0.0112,41.4316,1048.5900,NA,NA,NA
