﻿Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,38.1938,NA,0.41660000000000,6.44690000000000,0.18690000000000,2.21910000000000,13.6895,38.1259,0.2548,0.0679,0.1869,1.6816,0.6054,0.5973,0.0081,NA,38.1259,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,76.1548,NA,37.96100000000000,27.75450000000000,0.47410000000000,1.69470000000000,3.4830,38.3807,38.2482,37.7741,0.4741,37.9249,1.5439,1.5439,0.0000,-27.4997,38.3807,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,81.1233,NA,76.29970000000000,76.37130000000001,0.00000000000000,3.45890000000000,5.4380,4.8236,76.2997,76.2997,0.0000,1.8513,77.9073,4.2063,73.7010,NA,4.8236,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,76.6733,NA,0.51850000000000,6.92480000000000,0.17980000000000,2.68280000000000,9.8893,76.6289,0.2242,0.0444,0.1798,1.2206,1.5066,1.4955,0.0111,31.3234,76.6289,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,114.0144,NA,37.34110000000000,34.76320000000000,0.27020000000000,2.12800000000000,7.3114,76.8531,37.4315,37.1613,0.2702,37.2752,2.0141,2.0141,0.0000,-34.5390,76.8531,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,114.3229,NA,0.30850000000000,6.95080000000000,0.22560000000000,2.46200000000000,13.9537,114.2846,0.2639,0.0383,0.2256,1.8578,0.6425,0.6309,0.0116,30.4807,114.2846,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,160.0557,NA,45.73280000000000,34.69780000000000,0.46180000000000,1.73160000000000,2.9187,114.5485,45.9690,45.5072,0.4618,45.6461,1.5927,1.5927,0.0000,-34.4339,114.5485,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,160.5570,NA,0.50130000000000,6.94760000000000,0.16990000000000,1.70000000000000,9.3650,160.5175,0.2094,0.0395,0.1699,1.2698,0.4697,0.4591,0.0106,39.0214,160.5175,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,202.4092,NA,41.85220000000000,34.70870000000000,0.43850000000000,1.63300000000000,2.2215,160.7269,42.1208,41.6823,0.4385,41.7937,1.5216,1.5216,0.0000,-34.4993,160.7269,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,202.9006,NA,0.49140000000000,6.97060000000000,0.19320000000000,1.71630000000000,8.7007,202.8477,0.2461,0.0529,0.1932,1.1945,0.5747,0.4751,0.0996,35.1502,202.8477,NA,NA,NA
