Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,57.2725,NA,0.48140000000000,6.97580000000000,0.16610000000000,1.74170000000000,10.1239,57.2339,0.2047,0.0386,0.1661,1.2170,0.5633,0.5515,0.0118,NA,57.2339,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,97.8758,NA,40.60330000000000,34.69570000000000,0.24650000000000,1.40060000000000,4.2163,57.4386,40.6837,40.4372,0.2465,37.7039,4.1339,2.6328,1.5011,-34.4910,57.4386,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,98.1692,NA,0.29340000000000,6.98160000000000,0.17200000000000,1.66630000000000,10.9045,98.1223,0.2189,0.0469,0.1720,1.1541,0.5591,0.5482,0.0109,33.7021,98.1223,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,103.6841,NA,62.83880000000000,62.51730000000000,0.00000000000000,0.51890000000000,5.3880,40.8453,62.8388,62.8388,0.0000,0.4488,62.9089,1.2231,61.6858,NA,40.8453,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,139.5293,NA,41.36010000000000,34.70570000000000,0.27430000000000,1.93320000000000,4.2501,98.3412,41.4624,41.1881,0.2743,41.3137,1.8076,1.8076,0.0000,-34.4868,98.3412,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,139.8513,NA,0.32200000000000,6.95960000000000,0.19380000000000,2.19050000000000,10.8877,139.8036,0.2415,0.0477,0.1938,1.6589,0.5793,0.5608,0.0185,34.5028,139.8036,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,181.6281,NA,41.77680000000000,34.71300000000000,0.30950000000000,1.38640000000000,3.8239,140.0451,41.8925,41.5830,0.3095,41.6947,1.2747,1.2747,0.0000,-34.4715,140.0451,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,181.9793,NA,0.35120000000000,7.09910000000000,0.22050000000000,1.58270000000000,10.5718,181.9376,0.2622,0.0417,0.2205,1.0769,0.5475,0.5351,0.0124,34.7934,181.9376,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,227.0999,NA,45.12060000000000,41.52960000000000,0.33650000000000,1.71820000000000,6.9808,182.1998,45.2366,44.9001,0.3365,45.0419,1.5764,1.5764,0.0000,-41.2674,182.1998,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,227.4841,NA,0.38420000000000,6.90450000000000,0.17760000000000,1.89960000000000,13.5011,227.4364,0.2253,0.0477,0.1776,1.3817,0.5656,0.5559,0.0097,38.3321,227.4364,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,268.8069,NA,41.32280000000000,34.81060000000000,0.28540000000000,1.77760000000000,6.9889,227.6617,41.4306,41.1452,0.2854,41.2487,1.6741,1.6741,0.0000,-34.5853,227.6617,NA,NA,NA
